--- split 2/4 of beppyo-2.txt ---
| ６２３，０００ | ６２６，０００ | ４８，７８０ | ４２，４５０ | ３６，１２０ | ２９，７８０ | ２３，４５０ | １８，２５０ | １５，０８０ | １１，９１０ | ２０３，０００ |
| ６２６，０００ | ６２９，０００ | ４９，３２０ | ４２，９９０ | ３６，６６０ | ３０，３２０ | ２３，９９０ | １８，５２０ | １５，３５０ | １２，１８０ | ２０４，４００ |
| ６２９，０００ | ６３２，０００ | ４９，８６０ | ４３，５３０ | ３７，２００ | ３０，８６０ | ２４，５３０ | １８，７９０ | １５，６２０ | １２，４５０ | ２０５，８００ |

### （五）
| その月の社会保険料等控除後の給与等の金額 | 甲 | 乙 |  |  |  |  |  |  |  |  |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| その月の社会保険料等控除後の給与等の金額 | 扶養親族等の数 |  |  |  |  |  |  |  |  |  |
| その月の社会保険料等控除後の給与等の金額 | ０人 | １人 | ２人 | ３人 | ４人 | ５人 | ６人 | ７人 |  |  |
| 以上 | 未満 | 税額 | 税額 |  |  |  |  |  |  |  |
| 円 | 円 | 円 | 円 | 円 | 円 | 円 | 円 | 円 | 円 | 円 |
| ６３２，０００ | ６３５，０００ | ５０，４００ | ４４，０７０ | ３７，７４０ | ３１，４００ | ２５，０７０ | １９，０６０ | １５，８９０ | １２，７２０ | ２０７，３００ |
| ６３５，０００ | ６３８，０００ | ５０，９４０ | ４４，６１０ | ３８，２８０ | ３１，９４０ | ２５，６１０ | １９，３３０ | １６，１６０ | １２，９９０ | ２０８，７００ |
| ６３８，０００ | ６４１，０００ | ５１，４８０ | ４５，１５０ | ３８，８２０ | ３２，４８０ | ２６，１５０ | １９，８２０ | １６，４３０ | １３，２６０ | ２１０，２００ |
| ６４１，０００ | ６４４，０００ | ５２，０２０ | ４５，６９０ | ３９，３６０ | ３３，０２０ | ２６，６９０ | ２０，３６０ | １６，７００ | １３，５３０ | ２１１，５００ |
| ６４４，０００ | ６４７，０００ | ５２，５６０ | ４６，２３０ | ３９，９００ | ３３，５６０ | ２７，２３０ | ２０，９００ | １６，９７０ | １３，８００ | ２１２，５００ |
|  |  |  |  |  |  |  |  |  |  |  |
| ６４７，０００ | ６５０，０００ | ５３，１００ | ４６，７７０ | ４０，４４０ | ３４，１００ | ２７，７７０ | ２１，４４０ | １７，２４０ | １４，０７０ | ２１３，５００ |
| ６５０，０００ | ６５３，０００ | ５３，６４０ | ４７，３１０ | ４０，９８０ | ３４，６４０ | ２８，３１０ | ２１，９８０ | １７，５１０ | １４，３４０ | ２１４，５００ |
| ６５３，０００ | ６５６，０００ | ５４，１８０ | ４７，８５０ | ４１，５２０ | ３５，１８０ | ２８，８５０ | ２２，５２０ | １７，７８０ | １４，６１０ | ２１５，５００ |
| ６５６，０００ | ６５９，０００ | ５４，７２０ | ４８，３９０ | ４２，０６０ | ３５，７２０ | ２９，３９０ | ２３，０６０ | １８，０５０ | １４，８８０ | ２１６，５００ |
| ６５９，０００ | ６６２，０００ | ５５，２６０ | ４８，９３０ | ４２，６００ | ３６，２６０ | ２９，９３０ | ２３，６００ | １８，３２０ | １５，１５０ | ２１７，５００ |
|  |  |  |  |  |  |  |  |  |  |  |
| ６６２，０００ | ６６５，０００ | ５５，８００ | ４９，４７０ | ４３，１４０ | ３６，８００ | ３０，４７０ | ２４，１４０ | １８，５９０ | １５，４２０ | ２１８，５００ |
| ６６５，０００ | ６６８，０００ | ５６，３４０ | ５０，０１０ | ４３，６８０ | ３７，３４０ | ３１，０１０ | ２４，６８０ | １８，８６０ | １５，６９０ | ２１９，５００ |
