--- split 2/5 of beppyo-5.txt ---
| ３，１７２，０００ | ３，１７６，０００ | ２，１４０，４００ | ３，３７２，０００ | ３，３７６，０００ | ２，２８０，４００ | ３，５７２，０００ | ３，５７６，０００ | ２，４２０，４００ |
| ３，１７６，０００ | ３，１８０，０００ | ２，１４３，２００ | ３，３７６，０００ | ３，３８０，０００ | ２，２８３，２００ | ３，５７６，０００ | ３，５８０，０００ | ２，４２３，２００ |
|  |  |  |  |  |  |  |  |  |
| ３，１８０，０００ | ３，１８４，０００ | ２，１４６，０００ | ３，３８０，０００ | ３，３８４，０００ | ２，２８６，０００ | ３，５８０，０００ | ３，５８４，０００ | ２，４２６，０００ |
| ３，１８４，０００ | ３，１８８，０００ | ２，１４８，８００ | ３，３８４，０００ | ３，３８８，０００ | ２，２８８，８００ | ３，５８４，０００ | ３，５８８，０００ | ２，４２８，８００ |
| ３，１８８，０００ | ３，１９２，０００ | ２，１５１，６００ | ３，３８８，０００ | ３，３９２，０００ | ２，２９１，６００ | ３，５８８，０００ | ３，５９２，０００ | ２，４３１，６００ |
| ３，１９２，０００ | ３，１９６，０００ | ２，１５４，４００ | ３，３９２，０００ | ３，３９６，０００ | ２，２９４，４００ | ３，５９２，０００ | ３，５９６，０００ | ２，４３４，４００ |
| ３，１９６，０００ | ３，２００，０００ | ２，１５７，２００ | ３，３９６，０００ | ３，４００，０００ | ２，２９７，２００ | ３，５９６，０００ | ３，６００，０００ | ２，４３７，２００ |
|  |  |  |  |  |  |  |  |  |
| ３，２００，０００ | ３，２０４，０００ | ２，１６０，０００ | ３，４００，０００ | ３，４０４，０００ | ２，３００，０００ | ３，６００，０００ | ３，６０４，０００ | ２，４４０，０００ |
| ３，２０４，０００ | ３，２０８，０００ | ２，１６２，８００ | ３，４０４，０００ | ３，４０８，０００ | ２，３０２，８００ | ３，６０４，０００ | ３，６０８，０００ | ２，４４３，２００ |
| ３，２０８，０００ | ３，２１２，０００ | ２，１６５，６００ | ３，４０８，０００ | ３，４１２，０００ | ２，３０５，６００ | ３，６０８，０００ | ３，６１２，０００ | ２，４４６，４００ |
| ３，２１２，０００ | ３，２１６，０００ | ２，１６８，４００ | ３，４１２，０００ | ３，４１６，０００ | ２，３０８，４００ | ３，６１２，０００ | ３，６１６，０００ | ２，４４９，６００ |
