--- split 3/5 of beppyo-5.txt ---
| ４，４３２，０００ | ４，４３６，０００ | ３，１０５，６００ | ４，６３２，０００ | ４，６３６，０００ | ３，２６５，６００ | ４，８３２，０００ | ４，８３６，０００ | ３，４２５，６００ |
| ４，４３６，０００ | ４，４４０，０００ | ３，１０８，８００ | ４，６３６，０００ | ４，６４０，０００ | ３，２６８，８００ | ４，８３６，０００ | ４，８４０，０００ | ３，４２８，８００ |
|  |  |  |  |  |  |  |  |  |
| ４，４４０，０００ | ４，４４４，０００ | ３，１１２，０００ | ４，６４０，０００ | ４，６４４，０００ | ３，２７２，０００ | ４，８４０，０００ | ４，８４４，０００ | ３，４３２，０００ |
| ４，４４４，０００ | ４，４４８，０００ | ３，１１５，２００ | ４，６４４，０００ | ４，６４８，０００ | ３，２７５，２００ | ４，８４４，０００ | ４，８４８，０００ | ３，４３５，２００ |
| ４，４４８，０００ | ４，４５２，０００ | ３，１１８，４００ | ４，６４８，０００ | ４，６５２，０００ | ３，２７８，４００ | ４，８４８，０００ | ４，８５２，０００ | ３，４３８，４００ |
| ４，４５２，０００ | ４，４５６，０００ | ３，１２１，６００ | ４，６５２，０００ | ４，６５６，０００ | ３，２８１，６００ | ４，８５２，０００ | ４，８５６，０００ | ３，４４１，６００ |
| ４，４５６，０００ | ４，４６０，０００ | ３，１２４，８００ | ４，６５６，０００ | ４，６６０，０００ | ３，２８４，８００ | ４，８５６，０００ | ４，８６０，０００ | ３，４４４，８００ |

### （六）
| 給与等の金額 | 給与所得控除後の給与等の金額 | 給与等の金額 | 給与所得控除後の給与等の金額 | 給与等の金額 | 給与所得控除後の給与等の金額 |  |  |  |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 以上 | 給与所得控除後の給与等の金額 | 未満 | 給与所得控除後の給与等の金額 | 以上 | 給与所得控除後の給与等の金額 | 未満 | 以上 | 未満 |
| 円 | 円 | 円 | 円 | 円 | 円 | 円 | 円 | 円 |
| ４，８６０，０００ | ４，８６４，０００ | ３，４４８，０００ | ５，０６０，０００ | ５，０６４，０００ | ３，６０８，０００ | ５，２６０，０００ | ５，２６４，０００ | ３，７６８，０００ |
| ４，８６４，０００ | ４，８６８，０００ | ３，４５１，２００ | ５，０６４，０００ | ５，０６８，０００ | ３，６１１，２００ | ５，２６４，０００ | ５，２６８，０００ | ３，７７１，２００ |
